Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,
"April 1, 2023 - June 30, 2023",,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Applications by Category of Admission and Case Status,,,,,,,,,,,,,,,,,,,
,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based received at service center2,Employment-based received at service center2,Employment-based received at service center2,Employment-based received at service center2,Humanitarian-based3,Humanitarian-based3,Humanitarian-based3,Humanitarian-based3,Others4,Others4,Others4,Others4,Total,Total,Total,Total
Field Office by State9,Field Office Code,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6, Denied7, Pending8
Philadelphia,PHI,"2,300","1,814",203,"8,218",218,359,45,"2,804",507,638,11,"2,075",58,101,28,224,"3,083","2,912",287,"13,321"
Pittsburgh ,PIT,270,471,38,"1,228",77,202,16,923,106,209,D,"1,029",35,D,D,132,488,890,66,"3,312"
Rhode Island,,,,,,,,,,,,,,,,,,,,,
Providence ,PRO,319,471,44,"1,280",20,71,D,550,35,162,D,277,10,-,D,58,384,704,54,"2,165"
South Carolina,,,,,,,,,,,,,,,,,,,,,
Charleston ,CHL,462,211,51,"2,485",56,103,D,591,84,19,D,183,23,D,D,54,625,338,64,"3,313"
Greer,GRR,326,723,40,"1,263",35,177,D,735,100,D,D,183,D,D,-,D,465,918,44,"2,185"
Tennessee,,,,,,,,,,,,,,,,,,,,,
Memphis ,MEM,329,845,75,"1,933",100,302,16,"1,991",104,468,D,304,13,D,-,52,546,"1,618",95,"4,280"
Nashville,NTN,661,570,27,"3,531",117,88,D,"1,019",410,29,D,989,63,D,D,218,"1,251",695,44,"5,757"
Texas,,,,,,,,,,,,,,,,,,,,,
Dallas ,DAL,"4,162","4,735",351,"17,236",521,271,73,"7,471","1,155",134,27,"2,630",193,313,D,719,"6,031","5,453",458,"28,056"
El Paso ,ELP,"1,085","1,509",54,"3,862",74,463,14,897,857,21,D,"1,157",D,-,-,D,"2,017","1,993",74,"5,924"
Harlingen ,HLG,962,"1,406",49,"4,129",22,554,D,400,35,14,D,95,-,-,-,10,"1,019","1,974",61,"4,634"
Houston ,HOU,"3,849","5,564",457,"17,402",483,208,27,"3,761","4,261",392,209,"6,256",344,308,D,"1,004","8,937","6,472",700,"28,423"
San Antonio ,SNA,"2,335","1,804",95,"8,622",296,246,40,"3,877","1,341",184,D,"2,293",451,16,D,"1,379","4,423","2,250",144,"16,171"
Utah,,,,,,,,,,,,,,,,,,,,,
Salt Lake City ,SLC,"1,001",138,54,"3,716",79,35,D,733,298,85,D,755,84,45,-,232,"1,462",303,66,"5,436"
Vermont,,,,,,,,,,,,,,,,,,,,,
St. Albans ,STA,48,163,13,257,17,96,D,257,15,64,-,308,31,17,-,41,111,340,17,863
Virginia,,,,,,,,,,,,,,,,,,,,,
Norfolk ,NOR,609,449,46,"3,371",60,45,D,"1,086",195,21,D,539,59,27,D,465,923,542,59,"5,461"
Washington,,,,,,,,,,,,,,,,,,,,,
