,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
January 1 - March 31, 2018  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"78,947","68,869","10,410","344,976","30,908","28,336","2,593","162,675","47,211","48,497","1,299","138,599","6,946","6,306","1,062","36,369","164,012","152,008","15,364","682,619",,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Reno  , REN ,144 ,224 ,22 ,582 ,D,D,-,47 ,D,129 ,-,55 ,D,-,-,D,150 ,361 ,22 ,687 ,,,,,,,,,,,,,,,,,,,,,,,,,
 New Hampshire ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Manchester  , MAN ,155 ,150 ,10 ,351 ,D,45 ,D,98 ,D,D,D,20 ,D,D,-,D,166 ,200 ,12 ,471 ,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Mount Laurel , MTL ,677 ,613 ,131 ,"2,198 ",D,166 ,14 ,376 ,D,50 ,D,52 ,D,D,-,24 ,693 ,838 ,147 ,"2,650 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Newark  , NEW ,"3,147 ","3,279 ",584 ,"14,081 ",11 ,741 ,31 ,"2,334 ",192 ,424 ,D,689 ,24 ,47 ,20 ,165 ,"3,374 ","4,491 ",644 ,"17,269 ",,,,,,,,,,,,,,,,,,,,,,,,,
 New Mexico ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Albuquerque  , ABQ ,222 ,329 ,19 ,712 ,-,62 ,-,144 ,32 ,296 ,D,76 ,D,D,-,11 ,255 ,690 ,22 ,943 ,,,,,,,,,,,,,,,,,,,,,,,,,
 New York ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Albany  , ALB ,193 ,151 ,16 ,572 ,-,62 ,D,196 ,D,D,-,32 ,-,-,D,D,197 ,218 ,18 ,804 ,,,,,,,,,,,,,,,,,,,,,,,,,
, Brooklyn , BNY ,"2,234 ","1,944 ",399 ,"12,519 ",-,132 ,17 ,602 ,D,37 ,D,304 ,65 ,36 ,10 ,334 ,"2,308 ","2,149 ",432 ,"13,759 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Buffalo  , BUF ,267 ,287 ,28 ,696 ,-,62 ,D,257 ,151 ,215 ,10 ,293 ,D,D,D,D,420 ,573 ,46 ,"1,255 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Long Island , LNY ,"1,010 ","1,476 ",223 ,"5,653 ",-,103 ,D,368 ,D,13 ,-,88 ,38 ,55 ,34 ,575 ,"1,052 ","1,647 ",264 ,"6,684 ",,,,,,,,,,,,,,,,,,,,,,,,,
, New York  , NYC ,"2,972 ","2,986 ",331 ,"18,229 ",10 ,376 ,11 ,"1,681 ",23 ,37 ,D,626 ,122 ,137 ,D,700 ,"3,127 ","3,536 ",358 ,"21,236 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Queens , QNS ,"2,173 ","1,808 ",266 ,"11,547 ",D,166 ,18 ,768 ,D,78 ,17 ,373 ,64 ,17 ,20 ,387 ,"2,251 ","2,069 ",321 ,"13,075 ",,,,,,,,,,,,,,,,,,,,,,,,,
 North Carolina ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Charlotte  , CLT ,743 ,557 ,124 ,"2,323 ",D,52 ,D,439 ,72 ,253 ,D,359 ,19 ,12 ,-,60 ,835 ,874 ,130 ,"3,181 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Raleigh , RAL ,691 ,585 ,51 ,"1,902 ",D,162 ,D,451 ,40 ,266 ,D,124 ,D,11 ,-,48 ,743 ,"1,024 ",54 ,"2,525 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Ohio ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Cincinnati  , CIN ,262 ,212 ,35 ,688 ,-,48 ,D,216 ,18 ,22 ,D,18 ,D,10 ,D,27 ,289 ,292 ,43 ,949 ,,,,,,,,,,,,,,,,,,,,,,,,,
, Cleveland  , CLE ,351 ,320 ,57 ,891 ,D,69 ,-,330 ,11 ,14 ,D,53 ,D,D,D,18 ,371 ,412 ,61 ,"1,292 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Columbus , CLM ,389 ,355 ,53 ,978 ,-,52 ,-,247 ,20 ,28 ,D,69 ,D,D,D,23 ,412 ,438 ,63 ,"1,317 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Oklahoma ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
